"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1259","安心",33.75,380.80,232.65,223.01,681.86,84.89,4.29,68.79,5.30,8.44,1.75,1.86,2.79,22.49,1.06,2.86,45.65,112.81,0.09
"1264","德麥",29.19,312.70,262.66,177.83,4735.12,4.81,75.88,5.52,66.12,7.65,1.80,19.18,24.69,169.45,10.40,11.42,42.93,"NA",5.28
"1336","台翰",43.08,128.63,131.72,102.19,-1.77,3.88,94.07,8.74,41.76,1.35,0.77,-1.03,-2.57,-6.46,-1.90,-0.64,44.95,44.83,17.76
"1565","精華",32.37,183.26,255.25,181.73,137.19,6.51,56.06,3.46,105.49,1.97,0.84,25.14,38.26,369.11,29.06,31.20,119.47,90.66,8.57
"1569","濱川",59.05,147.71,136.20,96.47,-1.51,2.13,171.36,4.18,87.32,1.18,0.51,-0.55,-3.13,-13.52,-2.49,-0.79,-7.27,21.79,-3.58
"1570","力肯",19.09,226.93,336.09,197.98,34453.50,4.07,89.68,2.85,128.07,2.29,0.83,12.42,15.79,13.38,14.18,1.49,94.49,71.95,14.37
"1580","新麥",45.65,310.73,187.22,136.44,8959.28,4.52,80.75,4.07,89.68,7.64,1.38,17.71,32.29,158.08,12.65,11.13,47.38,102.02,12.91
"1584","精剛",56.38,106.83,105.03,34.74,-0.73,6.19,58.96,2.12,172.16,0.51,0.35,-0.79,-3.94,-5.36,-4.65,-0.57,-2.60,1.02,-0.69
"1586","和勤",55.14,175.93,119.91,74.20,528.27,3.38,107.98,5.33,68.48,2.73,0.78,3.14,5.35,12.54,3.34,1.24,1.21,87.35,-1.64
"1591","駿吉-KY",50.77,103.59,110.76,43.62,13.09,9.09,40.15,4.18,87.32,1.53,0.95,7.06,11.35,23.44,5.62,1.51,15.09,32.56,5.53
"1593","祺驊",24.63,253.52,277.65,202.58,913.57,4.34,84.10,4.14,88.16,3.13,0.98,5.76,7.61,25.42,5.82,2.30,23.61,97.04,-0.77
"1595","川寶",22.78,382.29,348.05,258.11,16510.56,2.34,155.98,2.42,150.82,2.62,0.59,13.11,16.72,97.22,22.17,7.58,58.04,92.33,6.65
"1599","宏佳騰",33.22,444.39,244.62,206.06,0.00,15.05,24.25,12.15,30.04,9.44,1.49,4.15,5.99,21.42,2.80,1.50,64.77,114.14,23.48
"1742","台蠟",30.81,195.99,199.57,70.11,-12.89,9.82,37.16,4.50,81.11,2.72,1.04,-5.17,-7.87,-9.62,-5.29,-0.95,-58.54,372.90,-9.70
"1777","生泰",17.43,286.99,646.30,486.85,624.68,6.39,57.12,2.13,171.36,1.96,0.67,14.20,17.82,52.49,21.00,4.93,121.09,110.99,9.10
"1781","合世",26.12,406.50,272.07,161.55,0.00,4.27,85.48,2.29,159.38,3.97,0.66,-5.60,-8.10,-13.26,-8.53,-1.11,0.00,62.19,-3.63
"1784","訊聯",26.15,310.30,360.25,336.64,"*****",2.74,133.21,33.58,10.86,1.06,0.32,1.37,1.87,6.08,4.32,0.89,47.99,89.47,-1.32
"1785","光洋科",70.29,150.90,134.69,36.95,1.50,28.24,12.92,8.14,44.84,6.30,2.61,0.67,0.16,1.86,0.03,-0.02,13.85,73.04,4.77
"1788","杏昌",36.58,446.04,205.42,159.60,236.10,2.46,148.37,5.88,62.07,7.90,1.13,9.11,14.35,76.31,8.01,6.28,3.72,42.26,-8.57
"1799","易威",10.95,1415.01,473.81,407.79,0.00,3.96,92.17,4.55,80.21,3.57,0.46,-20.98,-25.17,-20.04,-45.61,-2.23,-171.63,4519.33,-17.96
"1813","寶利徠",9.03,226.13,612.44,455.05,326803.03,4.26,85.68,2.76,132.24,0.87,0.35,9.20,10.06,23.12,26.17,2.09,195.27,103.93,2.15
"1815","富喬",47.42,120.16,158.95,99.08,1.55,6.54,55.81,4.96,73.58,0.49,0.37,1.24,0.84,1.67,1.16,0.13,54.55,72.26,5.01
"2035","唐榮公司",71.47,399.78,118.82,55.33,4.85,8.30,43.97,3.47,105.18,5.03,0.82,1.73,5.22,11.68,1.79,1.00,29.17,-8.21,8.54
"2061","風青",39.46,352.51,207.84,167.00,-287.49,2.83,128.97,5.85,62.39,6.40,1.05,-2.18,-5.91,-5.43,-2.64,-0.74,7.96,18.98,4.62
"2063","世鎧",44.57,139.46,159.67,90.04,13.07,6.37,57.29,2.72,134.19,1.29,0.66,7.70,12.59,20.05,10.67,1.74,15.39,64.32,0.92
