"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",48.11,236.15,200.73,174.02,6.07,5.72,63.81,7.28,50.13,0.91,0.29,3.62,5.56,29.46,10.11,1.45,36.81,59.60,3.17
"1102","亞泥",38.27,620.33,146.40,136.09,10.60,5.87,62.18,8.65,42.19,1.91,0.23,4.18,6.38,45.13,16.58,3.86,31.14,104.70,6.18
"1103","嘉泥",38.45,839.91,336.63,327.08,278.80,8.97,40.69,9.48,38.50,0.74,0.08,1.43,1.53,4.88,11.30,0.48,14.04,16.63,0.17
"1104","環泥",17.45,348.28,188.97,177.98,43.09,3.84,95.05,16.56,22.04,1.07,0.27,5.41,6.49,26.31,19.24,2.16,50.26,126.66,2.36
"1108","幸福",50.29,164.47,144.08,43.19,13.18,4.24,86.08,0.95,384.21,1.28,0.47,5.23,9.63,14.99,10.15,1.22,21.74,65.71,3.16
"1109","信大",9.55,388.59,699.73,582.04,336.87,4.57,79.86,3.72,98.11,1.76,0.41,4.61,5.19,20.86,11.26,1.38,44.24,189.36,0.63
"1110","東泥",24.81,888.81,149.36,79.34,1442.19,4.07,89.68,1.97,185.27,2.73,0.23,3.28,4.06,7.59,13.13,0.61,17.90,22.05,5.31
"1201","味全",56.11,132.99,103.91,66.34,581.79,9.00,40.55,9.58,38.10,2.74,1.32,3.07,5.91,12.27,1.89,0.87,26.17,126.32,5.91
"1203","味王",29.85,327.30,268.68,171.02,53.80,12.29,29.69,2.53,144.26,2.21,0.61,8.65,12.36,49.63,13.74,2.36,46.17,100.15,2.08
"1210","大成",50.92,151.49,97.72,53.72,9.06,12.56,29.06,7.25,50.34,4.28,1.52,7.25,13.31,62.81,4.30,4.21,24.71,97.26,19.15
"1213","大飲",9.50,483.27,485.23,441.08,41.41,11.59,31.49,5.77,63.25,0.55,0.24,62.34,104.10,91.65,258.85,8.71,-485.54,-1406.42,-31.53
"1215","卜蜂",62.23,121.03,81.80,57.88,8.76,9.60,38.02,11.00,33.18,1.75,0.98,7.38,17.76,79.89,6.78,6.55,36.08,55.89,6.57
"1216","統一",70.49,225.71,97.73,70.04,10.86,30.02,12.15,7.32,49.86,3.33,0.96,5.18,15.98,74.32,4.92,3.64,32.31,147.68,12.19
"1217","愛之味",43.96,534.07,91.29,60.55,3.74,7.14,51.12,4.13,88.37,2.47,0.35,2.82,4.22,7.32,5.92,0.58,19.89,116.64,3.36
"1218","泰山",12.49,703.37,448.71,319.31,249.07,8.15,44.78,6.15,"NA",5.57,0.75,5.26,5.97,17.63,6.95,1.53,87.29,-0.17,8.00
"1219","福壽",53.86,160.92,169.52,83.47,2.60,8.02,45.51,4.78,76.35,3.68,1.42,2.48,3.99,4.06,1.27,0.53,20.96,42.78,4.47
"1220","台榮",23.34,242.80,348.56,204.22,74.50,4.62,79.00,4.38,83.33,2.59,1.04,7.16,9.07,16.44,6.77,1.17,28.92,71.61,1.68
"1227","佳格",31.73,467.48,234.55,154.86,36.21,6.58,55.47,3.95,92.40,7.04,1.09,6.98,9.90,25.04,6.22,1.91,47.61,109.85,11.82
"1229","聯華",19.87,1759.15,112.33,99.46,23.61,4.47,81.65,4.19,87.11,2.45,0.14,5.71,6.99,29.61,37.59,2.46,28.72,71.34,2.50
"1231","聯華食",53.91,150.95,161.92,106.26,25.06,5.17,70.59,5.88,62.07,1.84,0.90,8.75,18.57,51.39,9.39,4.22,25.48,60.68,3.71
"1232","大統益",35.80,724.76,320.63,167.40,54.47,18.28,19.96,6.26,58.30,23.56,2.55,16.16,24.06,106.98,6.22,8.24,102.93,80.78,10.35
"1233","天仁",38.02,163.81,123.28,69.29,16.66,10.07,36.24,2.90,125.86,2.50,0.93,3.93,5.93,11.88,3.99,0.96,41.76,148.19,5.82
"1234","黑松",20.49,337.07,337.27,102.75,50.80,12.44,29.34,1.29,282.94,1.69,0.44,4.16,5.06,29.67,9.24,2.36,30.80,97.99,0.05
"1235","興泰",45.15,2096.49,82.36,81.05,-2.64,0.72,506.94,3.44,106.10,0.62,0.02,0.70,0.26,-9.03,6.38,0.08,-1.09,4.40,-2.37
"1236","宏亞",37.73,155.61,108.37,62.49,-0.63,5.01,72.85,5.00,73.00,1.00,0.50,-0.30,-0.97,-2.85,-1.22,-0.28,0.44,62.85,-1.04
"1256","鮮活果汁-KY",19.13,189.44,222.81,161.85,71.68,11.88,30.72,6.21,58.77,2.20,0.88,6.59,7.71,119.86,7.43,8.56,75.23,114.05,6.89
"1301","台塑",41.84,313.12,90.77,65.47,0.23,13.95,26.16,8.32,43.87,1.71,0.39,0.26,-0.39,-3.79,-0.62,-0.19,9.83,77.74,0.89
"1303","南亞",41.28,211.10,131.87,91.31,1.91,6.41,56.94,4.71,77.49,1.20,0.41,0.93,0.89,5.70,1.27,0.42,13.35,92.49,1.50
"1304","台聚",40.46,207.94,196.37,143.27,-1674.64,8.91,40.96,7.03,51.92,1.89,0.70,-6.39,-10.87,-46.42,-9.63,-2.00,10.11,118.95,1.22
"1305","華夏",48.46,134.82,136.10,82.17,-8.83,10.87,33.57,4.31,84.68,1.17,0.62,-3.78,-7.69,-15.83,-6.78,-1.22,15.76,55.09,2.46
"1307","三芳",40.73,241.15,240.88,194.57,25.88,7.68,47.52,4.51,80.93,2.01,0.65,9.33,15.38,47.16,13.72,3.72,59.06,128.60,7.23
"1308","亞聚",15.55,352.68,298.98,224.62,-7285.86,14.33,25.47,9.61,37.98,1.72,0.42,-5.18,-6.05,-15.50,-12.44,-1.26,30.82,176.46,0.40
"1309","台達化",35.99,344.33,203.55,164.24,-514.95,8.76,41.66,15.85,23.02,9.63,1.99,-2.05,-3.45,-6.08,-1.20,-0.56,-20.70,118.78,-6.47
"1310","台苯",24.97,242.21,110.67,79.68,-20.26,12.44,29.34,19.81,18.42,3.41,1.15,-3.69,-5.22,-9.14,-3.36,-0.72,-12.30,-40.20,-2.03
"1312","國喬",42.62,193.91,174.97,100.28,-11.02,9.34,39.07,6.62,55.13,0.59,0.26,-2.49,-4.66,-18.29,-10.38,-1.42,-27.85,28.54,-3.37
"1313","聯成",48.37,295.55,210.07,114.43,-412.72,15.17,24.06,8.67,42.09,4.57,1.30,-3.47,-8.01,-19.84,-3.25,-1.79,19.92,40.78,2.56
"1314","中石化",44.00,416.50,199.65,47.22,188.15,10.46,34.89,0.57,640.35,1.10,0.20,0.60,0.28,1.86,0.75,0.07,-5.93,-85.91,-1.75
"1315","達新",8.09,457.44,1121.93,952.06,111.37,5.33,68.48,2.95,123.72,1.05,0.20,1.95,2.09,26.44,9.73,2.15,47.57,36.99,0.00
"1316","上曜",52.97,439.51,166.12,33.95,0.36,8.08,45.17,0.11,3318.18,0.82,0.10,-0.11,-2.05,-5.95,-9.52,-0.79,-30.30,-85.41,-27.77
"1319","東陽",26.47,180.19,188.43,140.54,170.01,5.34,68.35,5.91,61.75,1.46,0.70,12.22,16.48,93.49,17.41,7.40,102.13,143.67,10.51
"1321","大洋",48.52,325.66,205.67,155.31,15.02,7.72,47.27,8.03,45.45,1.43,0.40,1.55,2.72,12.68,3.56,0.76,22.09,76.62,1.10
"1323","永裕",45.69,244.59,348.37,281.18,9.65,4.23,86.28,4.07,89.68,1.34,0.51,5.85,9.91,32.05,10.44,2.58,41.61,99.23,1.88
"1324","地球",17.00,269.79,412.23,319.29,13.78,5.61,65.06,3.93,92.87,2.23,0.67,0.59,0.70,0.36,0.86,0.09,22.78,93.60,1.37
"1325","恆大",3.49,270.21,4000.95,3819.53,-350400.00,5.50,66.36,4.26,85.68,0.29,0.11,-2.30,-2.38,-7.81,-21.10,-0.60,116.64,145.53,-0.02
"1326","台化",37.78,238.71,122.13,83.88,1.19,12.02,30.36,7.73,47.21,2.31,0.66,0.73,0.33,1.60,0.32,0.06,15.04,96.67,2.62
"1337","再生-KY",34.36,310.00,130.30,118.67,0.00,5.96,61.24,7.78,46.91,0.45,0.15,-7.62,-9.71,-10.02,-50.71,-1.54,-12.12,-58.72,-2.78
"1338","廣華-KY",40.48,201.25,168.50,142.63,1.09,2.57,142.02,4.35,83.90,1.39,0.48,0.59,-0.72,1.60,-0.90,-1.14,18.50,64.63,5.24
"1339","昭輝",17.99,155.10,257.43,191.15,40.65,3.82,95.54,3.24,112.65,0.67,0.37,6.92,8.62,64.25,18.38,5.01,128.93,121.58,6.66
"1340","勝悅-KY",9.55,181.78,706.31,540.92,-204.24,4.93,74.03,31.88,11.44,0.23,0.11,-21.69,-24.02,-52.89,-214.69,-5.28,-216.55,"NA",-6.90
