"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",43.27,334.83,177.58,164.66,18.36,3.12,116.98,9.87,36.98,1.36,0.35,7.58,12.54,57.60,20.73,4.43,43.39,81.43,2.48
"1102","亞泥",43.00,439.89,120.05,109.57,16.60,3.95,92.40,7.25,50.34,1.73,0.31,8.22,13.54,84.47,24.90,5.56,50.14,180.16,11.73
"1103","嘉泥",38.85,535.84,288.01,284.83,884.56,7.05,51.77,2.80,130.35,0.38,0.05,4.27,6.32,12.72,74.77,2.02,0.00,17.68,0.00
"1104","環泥",22.64,316.62,111.36,103.58,37.42,3.98,91.70,15.83,23.05,0.81,0.21,5.08,6.35,18.33,22.80,1.74,19.56,68.01,0.42
"1108","幸福",41.04,333.67,314.58,86.96,2.36,4.94,73.88,0.96,380.20,2.18,0.51,1.06,1.07,1.33,1.23,0.11,16.25,88.69,1.64
"1109","信大",22.89,279.01,251.83,213.89,113.98,3.04,120.06,6.37,57.29,2.44,0.73,13.79,17.87,61.08,18.65,2.82,94.75,252.53,14.88
"1110","東泥",12.01,3790.91,306.23,133.59,973.18,4.06,89.90,2.48,147.17,7.16,0.17,0.39,0.39,0.75,2.10,0.06,26.87,-2.29,1.87
"1201","味全",63.64,120.72,89.66,68.62,10.00,7.14,51.12,10.64,34.30,2.05,1.00,7.46,20.55,34.18,6.68,2.67,19.59,23.55,4.72
"1203","味王",34.05,251.52,249.81,153.51,67.29,12.93,28.22,2.79,130.82,2.11,0.68,7.90,11.86,39.77,11.34,1.92,25.65,132.16,-0.46
"1210","大成",48.57,156.29,105.52,55.16,9.45,12.81,28.49,7.09,51.48,4.88,1.73,7.35,12.78,46.57,3.82,2.93,27.37,92.98,20.61
"1213","大飲",55.50,152.16,188.55,153.38,-3.24,4.96,73.58,11.43,31.93,0.78,0.33,-2.55,-7.37,-8.92,-9.91,-0.76,-53.55,108.65,4.19
"1215","卜蜂",53.74,139.16,106.14,77.46,26.98,9.10,40.10,12.48,29.24,2.58,1.23,10.96,22.96,82.21,8.61,5.46,30.39,55.70,7.35
"1216","統一",63.56,219.36,106.86,79.56,1447.84,24.46,14.92,7.86,46.43,2.95,1.01,6.89,16.55,64.06,6.36,3.35,38.64,156.17,11.14
"1217","愛之味",50.06,294.25,65.06,42.90,1.52,7.28,50.13,4.74,77.00,1.49,0.35,1.34,1.16,1.41,1.46,0.10,6.37,40.40,1.77
"1218","泰山",28.43,439.06,209.73,156.06,33.22,7.53,48.47,9.90,36.86,4.71,0.89,6.63,8.96,12.43,7.28,1.20,21.27,25.23,-0.42
"1219","福壽",55.70,143.62,164.58,93.22,3.95,9.20,39.67,6.79,53.75,3.07,1.40,2.16,3.66,5.44,1.15,0.63,-4.14,-0.05,-1.50
"1220","台榮",21.31,298.20,409.82,289.97,41.04,4.21,86.69,4.95,73.73,3.34,0.95,4.60,5.72,10.28,4.70,0.71,39.84,101.52,1.85
"1225","福懋油",52.87,194.90,180.10,123.26,15.10,7.50,48.66,8.56,42.64,4.49,1.50,5.98,10.91,22.55,3.71,1.55,16.32,89.36,2.45
"1227","佳格",33.50,347.42,240.99,175.10,98.03,4.96,73.58,5.51,66.24,5.90,1.26,14.11,20.94,49.71,11.05,3.76,65.43,118.09,13.12
"1229","聯華",19.15,876.38,94.72,75.61,55.63,7.41,49.25,4.74,77.00,2.33,0.18,8.30,10.11,29.70,38.04,2.51,36.97,79.74,2.75
"1231","聯華食",51.06,173.77,145.96,80.59,2339.11,5.06,72.13,4.89,74.64,3.22,1.19,7.58,14.80,37.51,6.11,3.00,9.11,91.78,-0.70
"1232","大統益",28.86,651.57,337.41,204.07,120.85,17.16,21.27,8.98,40.64,26.43,3.04,17.87,24.75,78.18,5.83,6.09,77.60,119.65,4.08
"1233","天仁",35.07,175.84,147.38,91.11,33.42,8.71,41.90,3.17,115.14,2.44,0.96,6.94,9.73,21.54,6.98,1.73,58.60,98.69,4.79
"1234","黑松",21.03,318.99,316.44,90.80,57.28,12.52,29.15,1.27,287.40,1.42,0.40,3.77,4.77,24.07,9.26,2.11,51.79,-3.88,3.49
"1235","興泰",38.58,1548.79,204.10,203.28,2.51,0.41,890.24,2.30,158.69,0.35,0.01,1.32,1.22,4.80,75.90,0.49,2.66,770.09,1.43
"1236","宏亞",38.43,144.42,144.97,95.67,4.64,4.21,86.69,5.24,69.65,1.20,0.67,0.71,0.90,1.63,0.85,0.15,25.03,101.47,2.43
"1256","鮮活果汁-KY",34.59,146.85,153.43,125.16,67.05,14.31,25.50,8.91,40.96,2.74,1.22,19.34,28.54,225.82,15.56,16.20,78.90,124.69,19.96
"1301","台塑",29.76,476.21,196.70,172.37,24.22,14.00,26.07,9.01,40.51,2.56,0.42,7.69,10.59,66.32,17.96,5.86,52.17,116.90,1.69
"1303","南亞",35.90,301.84,224.48,169.93,14.74,5.72,63.81,5.70,64.03,1.93,0.51,4.36,6.25,33.65,8.11,2.91,62.62,101.66,1.60
"1304","台聚",45.15,253.10,221.78,176.65,1205.21,7.05,51.77,8.42,43.34,2.37,0.79,3.96,6.73,28.28,4.57,1.19,48.06,62.54,6.53
"1305","華夏",29.34,172.73,287.70,193.16,71.33,9.21,39.63,8.25,44.24,2.48,1.18,5.54,7.97,16.28,4.62,1.22,118.96,117.10,6.46
"1307","三芳",45.40,181.98,216.76,160.63,15.95,6.84,53.36,3.85,94.80,1.65,0.69,3.13,5.22,16.10,4.19,1.08,34.98,97.08,5.90
"1308","亞聚",39.55,441.02,200.03,178.63,1853.54,8.33,43.81,9.87,36.98,2.00,0.42,5.33,8.28,17.76,12.09,1.48,20.19,40.30,1.78
"1309","台達化",46.28,263.28,210.71,172.37,11.93,6.84,53.36,17.24,21.17,7.77,2.11,5.25,9.60,16.87,2.25,1.19,70.34,382.58,14.33
"1310","台苯",22.30,188.22,178.02,142.51,125.10,13.56,26.91,18.94,19.27,3.01,1.23,8.97,11.80,19.60,7.22,1.67,52.39,129.38,-0.73
"1312","國喬",13.51,400.06,461.53,393.58,45857.55,7.52,48.53,9.76,37.39,2.79,0.67,7.11,8.23,29.58,10.63,2.27,121.33,307.98,7.28
"1313","聯成",54.44,210.93,175.57,95.13,55.86,16.09,22.68,8.01,45.56,3.75,1.37,0.39,-0.69,-1.34,-0.22,-0.11,41.23,49.76,8.84
"1314","中石化",30.35,432.68,274.40,146.30,1426.70,13.65,26.73,4.52,80.75,1.49,0.32,1.98,2.58,6.57,5.85,0.61,-96.13,9.02,-9.21
"1315","達新",15.44,584.01,531.58,476.74,104.47,5.50,66.36,3.12,116.98,1.54,0.25,7.10,8.66,37.10,28.61,3.65,22.90,78.49,0.62
"1316","上曜",64.56,959.40,142.03,21.24,-1.05,4.63,78.83,0.15,2433.33,2.48,0.11,-0.77,-2.73,-4.05,-10.36,-0.96,-54.91,-114.84,-77.74
"1319","東陽",38.72,144.64,115.97,77.31,14.24,4.89,74.64,6.01,60.73,1.06,0.58,5.37,8.32,39.86,8.58,3.36,68.62,106.95,9.71
"1321","大洋",53.98,292.23,173.76,115.99,5.91,7.06,51.69,7.35,49.65,1.30,0.40,1.21,2.19,5.96,2.51,0.53,34.15,33.14,2.81
"1323","永裕",53.79,252.68,407.87,317.88,26.91,4.30,84.88,4.49,81.29,2.34,0.78,7.82,15.19,50.36,9.71,3.18,107.43,98.61,7.28
"1324","地球",20.43,241.98,354.00,248.86,87.43,5.56,65.64,4.64,78.66,2.88,0.90,0.26,0.32,1.37,0.28,0.04,4.91,63.52,-0.66
"1325","恆大",5.91,198.17,1880.99,1577.20,1629.41,5.93,61.55,4.97,73.44,0.89,0.41,1.83,1.95,5.16,4.49,0.43,213.77,128.09,1.69
"1326","台化",25.66,365.37,259.58,206.64,20.24,8.67,42.09,6.77,53.91,2.52,0.57,6.29,8.18,63.31,10.95,5.09,65.82,136.10,5.45
"1337","再生-KY",7.78,213.16,607.08,552.35,-69.42,4.56,80.04,6.26,58.30,0.36,0.16,-7.67,-8.64,-9.18,-51.02,-2.39,-64.40,149.37,-3.35
"1338","廣華-KY",34.02,226.15,195.58,164.78,9.53,3.69,98.91,5.90,61.86,2.39,0.74,4.41,5.83,67.92,5.27,4.78,37.17,104.93,9.06
"1339","昭輝",32.73,157.85,174.56,148.38,14.85,3.45,105.79,5.80,62.93,0.94,0.45,6.79,11.01,62.45,14.04,5.08,58.24,106.48,7.77
"1340","勝悅-KY",4.34,499.91,1846.70,1821.52,"NA",3.15,115.87,86.58,4.21,0.99,0.19,-6.79,-7.07,-28.37,-37.88,-2.87,-84.73,"NA",-3.19
"1341","富林-KY",42.95,169.44,177.52,84.20,17.51,7.01,52.06,4.02,90.79,3.61,1.36,13.48,24.02,73.83,9.31,5.69,44.88,70.54,6.81
"1342","八貫",38.32,170.84,189.99,78.73,39.82,6.43,56.76,2.19,166.66,2.51,1.02,13.11,21.19,37.87,12.51,3.08,80.30,66.42,21.56
"1402","遠東新",52.90,241.91,103.59,78.28,6.94,8.89,41.05,6.71,54.39,1.53,0.43,3.44,5.26,35.74,6.57,2.15,38.24,78.81,10.95
"1409","新纖",75.71,262.70,92.91,87.03,4.07,4.44,82.20,4.78,76.35,1.79,0.22,1.97,5.99,17.04,6.54,1.11,4.47,206.15,0.05
"1410","南染",16.90,656.04,1095.47,1057.26,628.58,5.47,66.72,9.77,37.35,1.84,0.27,4.58,5.53,13.15,16.65,0.94,160.13,116.26,-0.22
"1413","宏洲",56.40,160.76,93.35,26.26,7.87,12.99,28.09,5.26,69.39,2.49,1.07,2.98,5.87,5.25,2.33,0.52,0.70,10.51,0.10
"1414","東和",32.28,230.12,150.93,77.56,3.79,14.65,24.91,1.35,270.37,0.48,0.17,0.99,1.18,1.33,4.60,0.17,0.00,30.11,-0.97
"1416","廣豐",45.30,137.13,115.40,19.08,-2.40,8.21,44.45,0.03,12166.66,0.06,0.04,-1.28,-3.28,-8.98,-51.65,-0.72,-10.21,45.77,-5.11
"1417","嘉裕",28.48,328.86,254.52,205.77,16260.90,9.29,39.28,0.83,439.75,1.40,0.32,7.44,9.74,-14.55,22.57,1.18,0.00,0.00,0.00
"1418","東華",74.13,239.79,142.62,72.78,-5.43,1101.77,0.33,1.74,209.77,0.23,0.08,-7.27,-28.84,-37.67,-101.20,-3.94,-91.78,-253.41,-14.60
