"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1240","茂生農經",33.43,367.07,168.90,123.97,56.70,6.15,59.34,8.84,41.28,7.41,1.26,8.27,12.77,53.39,6.41,4.44,26.62,66.53,3.81
"1259","安心",58.40,793.04,142.51,115.65,10.02,60.81,6.00,72.83,5.01,12.91,1.15,3.60,7.91,55.45,2.81,4.96,58.74,184.87,0.21
"1264","德麥",21.41,373.87,305.88,234.26,27695.22,5.28,69.12,5.24,69.65,5.21,1.16,16.92,21.00,244.78,14.53,16.00,86.35,112.90,10.64
"1268","漢來美食",61.76,219.45,143.52,120.70,12.68,23.22,15.71,16.35,22.32,4.50,0.80,6.97,17.04,83.72,8.08,7.51,43.50,112.89,9.39
"1336","台翰",33.52,185.15,211.44,170.80,38.47,4.94,73.88,9.69,37.66,1.87,0.77,8.29,11.66,39.68,10.10,2.48,38.01,87.76,4.71
"1565","精華",30.06,161.49,230.62,160.93,70.84,6.49,56.24,3.12,116.98,1.26,0.62,9.18,13.08,186.70,14.88,14.78,51.34,84.34,-0.68
"1569","濱川",54.13,136.97,128.21,85.74,7.17,2.97,122.89,3.04,120.06,1.70,0.71,6.61,13.67,40.03,7.98,3.42,16.69,59.85,7.23
"1570","力肯",18.59,384.98,435.64,331.70,813.21,4.52,80.75,2.45,148.97,2.68,0.59,5.13,6.21,11.82,8.60,0.93,12.87,97.94,-1.82
"1580","新麥",32.34,231.05,191.08,127.24,9433.14,6.60,55.30,3.12,116.98,3.16,0.97,10.60,15.48,98.10,10.71,6.79,47.36,130.46,7.77
"1584","精剛",60.21,170.00,125.70,64.05,3.48,4.87,74.94,1.94,188.14,0.88,0.38,2.14,4.07,4.09,4.25,0.41,27.31,371.26,10.98
"1586","和勤",61.64,153.38,163.27,103.77,867.34,3.30,110.60,3.61,101.10,1.32,0.59,4.13,9.36,25.36,6.00,1.69,25.43,63.15,7.74
"1591","駿吉-KY",45.31,125.60,117.21,45.11,11.44,7.64,47.77,3.80,96.05,1.79,0.90,8.40,13.26,17.37,8.62,1.59,-19.44,24.73,-11.90
"1593","祺驊",25.32,464.53,400.69,324.41,226.36,4.06,89.90,3.90,93.58,3.68,0.73,12.11,15.37,48.99,16.61,4.49,41.75,94.60,-0.27
"1595","川寶",41.05,358.81,203.07,126.21,417.39,2.98,122.48,1.17,311.96,2.57,0.44,0.40,0.37,5.74,0.51,0.18,17.59,58.66,6.67
"1599","宏佳騰",30.88,170.06,191.77,131.67,0.00,25.09,14.54,7.87,46.37,3.45,1.38,6.05,8.21,39.76,7.36,3.19,58.77,113.97,18.79
"1742","台蠟",45.58,287.93,166.53,143.25,0.01,8.46,43.14,1.89,193.12,1.11,0.22,-0.08,-0.75,-0.92,-1.97,-0.09,42.18,-77.28,14.43
"1777","生泰",30.38,184.48,220.44,154.05,65.96,8.06,45.28,2.00,182.50,1.47,0.54,10.41,15.56,77.48,18.98,6.21,69.61,87.92,13.56
"1781","合世",56.31,498.66,172.41,120.26,8542.27,10.71,34.08,3.98,91.70,6.10,0.98,25.98,58.28,55.80,26.61,4.34,0.00,11.11,0.00
"1784","訊聯",25.68,297.54,339.80,295.02,20.52,3.64,100.27,1.10,331.81,1.58,0.46,0.09,0.10,1.29,0.15,0.27,33.05,11.91,3.96
"1785","光洋科",59.99,283.44,530.41,201.50,5.46,15.49,23.56,2.95,123.72,3.98,1.25,5.12,10.71,22.97,3.31,1.69,47.84,48.73,2.77
"1788","杏昌",52.10,344.06,167.87,118.68,23.59,2.90,125.86,4.35,83.90,4.59,0.87,8.35,16.71,104.18,9.25,8.72,31.17,82.34,6.33
"1796","金穎生技",59.68,269.82,462.32,364.18,1.69,5.38,67.84,2.26,161.50,1.22,0.37,1.25,1.15,2.43,1.23,0.16,48.70,87.79,4.19
"1799","易威",31.07,254.43,629.85,534.70,-10.37,12.95,28.18,9.37,38.95,0.81,0.23,-14.79,-25.31,-13.11,-69.06,-1.30,-328.25,-231.18,-15.82
"1813","寶利徠",30.54,231.32,145.65,91.03,-115.64,4.81,75.88,2.02,180.69,1.17,0.35,0.32,0.04,-2.00,0.09,0.00,-6.09,63.77,-3.88
"1815","富喬",54.19,131.98,136.99,84.89,-3.06,3.84,95.05,2.82,129.43,0.33,0.23,-2.41,-7.04,-14.47,-13.97,-1.17,8.27,59.62,1.11
"2035","唐榮公司",75.93,428.87,130.38,26.76,-6.10,119.85,3.04,3.84,95.05,3.08,0.62,-3.26,-14.75,-18.79,-6.15,-1.90,12.67,67.77,1.07
"2061","風青",53.86,377.47,166.42,135.92,172.73,2.64,138.25,5.77,63.25,5.90,0.83,1.06,1.06,0.80,0.73,0.10,-3.73,85.41,-3.32
"2063","世鎧",54.75,162.66,135.47,74.33,14.81,4.71,77.49,1.69,215.97,1.89,0.64,6.88,14.00,28.84,10.05,2.37,29.13,62.57,8.96
"2064","晉椿",61.35,1.12,0.64,0.44,-3.91,3.79,96.30,4.21,86.69,1.53,0.58,-3.00,-8.81,-14.91,-6.18,-1.49,6.91,29.74,3.71
"2065","世豐",51.96,262.28,156.08,97.85,24.00,5.68,64.26,3.96,92.17,3.77,0.99,6.97,13.32,42.06,6.75,3.71,0.67,36.85,-6.22
"2066","世德",52.19,398.75,179.58,76.47,5.87,6.90,52.89,1.59,229.55,4.79,0.74,4.55,8.67,33.98,5.11,2.53,41.20,61.66,22.56
"2070","精湛",48.82,278.14,180.68,122.87,-8.40,2.85,128.07,0.79,462.02,1.07,0.30,-2.93,-6.18,-18.33,-11.07,-1.45,19.81,77.45,0.63
"2221","大甲",40.61,192.73,247.54,130.45,21.66,4.05,90.12,1.85,197.29,2.09,0.74,5.29,8.73,21.29,6.96,1.70,19.50,120.20,0.05
"2230","泰茂",46.93,229.42,134.05,85.31,-3.64,3.27,111.62,2.17,168.20,2.11,0.51,-1.66,-4.00,-6.14,-4.02,-0.48,5.06,97.89,2.33
"2235","謚源",24.23,199.03,175.63,124.89,40.48,2.64,138.25,3.23,113.00,1.01,0.41,4.31,5.61,24.65,10.18,2.01,39.57,86.24,0.68
"2596","綠意",33.15,4959.49,282.74,51.96,20.35,8.93,40.87,0.29,1258.62,22.08,0.32,5.65,8.01,24.45,17.41,1.45,7.30,42.92,-0.55
"2640","大車隊",39.45,185.30,115.94,103.15,60.38,7.76,47.03,6.68,54.64,2.01,0.80,12.02,19.51,67.78,14.80,5.21,67.08,139.53,13.97
"2641","正德",66.12,92.00,21.67,17.60,2.49,210.34,1.73,75.76,4.81,0.18,0.16,3.27,6.03,6.30,12.73,0.62,45.65,50.20,6.24
"2643","捷迅",39.93,938.00,256.57,242.96,44.03,5.50,66.36,"*****","*****",32.70,2.46,14.52,25.91,86.90,5.77,7.15,46.57,2.24,17.92
"2718","全心投控",58.55,256.99,149.11,23.30,-1.76,0.44,829.54,0.00,"*****",0.01,0.00,-6.34,-13.97,-6.29,-3863.47,-2.89,-25.10,-84.85,-21.94
"2719","燦星旅",67.91,142.86,130.09,112.11,-15642.36,10.87,33.57,875.50,0.41,2.28,0.62,-34.18,-120.76,-28.21,-54.87,-4.28,-507.19,-341.20,-104.73
"2724","藝舍-KY",99.22,1633.95,49.92,38.63,-680.72,5.81,62.82,1545.75,0.23,0.55,0.11,-9.04,-1069.60,-22.16,-91.14,-2.21,46.71,351.18,50.27
"2726","雅茗-KY",61.24,523.90,135.66,115.68,4.22,37.85,9.64,8.45,43.19,10.25,0.88,2.60,4.67,15.88,2.09,1.09,88.42,121.12,66.09
"2729","瓦城",61.82,228.09,108.29,101.68,13.91,16.96,21.52,17.36,21.02,2.83,0.79,6.70,16.81,185.72,7.81,15.95,69.06,119.77,22.51
"2732","六角",54.01,516.52,121.73,103.50,5.98,14.93,24.44,11.19,32.61,7.04,0.93,4.06,7.46,44.04,3.66,3.08,23.91,102.68,3.82
